"WAVE","PFamL","PFamLo"
"Pbap",0.138801261829653,0.861198738170347
"Amphipoda",0.5,0.164835164835165
"Asellidae",0.5,0.0842490842490843
"Athericidae",0.0681818181818182,0.263736263736264
"Baetiscidae",0,0.00854700854700855
"Brachycentridae",0,0.142857142857143
"Caenidae",0.0454545454545455,0.230769230769231
"Calopterygidae",0.0454545454545455,0.0244200244200244
"Capniidae",0,0.0317460317460317
"Chironomus",0.0833333333333333,0.0134310134310134
"Chloroperlidae",0,0.0561660561660562
"Coenagrionidae",0.136363636363636,0.0378510378510378
"Cordulegastridae",0.00757575757575758,0.0122100122100122
"Corixidae",0.0454545454545455,0.00244200244200244
"Corydalidae",0.0984848484848485,0.301587301587302
"Ephemerellidae",0.0227272727272727,0.373626373626374
"Ephemeridae",0,0.032967032967033
"Glossosomatidae",0,0.113553113553114
"Gomphidae",0.0378787878787879,0.152625152625153
"Haliplidae",0.0227272727272727,0.00122100122100122
"Helicopsychidae",0,0.0732600732600733
"Heptageniidae",0.136363636363636,0.797313797313797
"Hirudinea",0.212121212121212,0.0231990231990232
"Hydroptilidae",0.0984848484848485,0.170940170940171
"Isonychiidae",0.00757575757575758,0.454212454212454
"Lepidostomatidae",0.00757575757575758,0.061050061050061
"Leptohyphidae",0.0378787878787879,0.117216117216117
"Leptophlebiidae",0.0151515151515152,0.163614163614164
"Leuctridae",0.0303030303030303,0.130647130647131
"Lymnaeidae",0.0606060606060606,0.0195360195360195
"Nemouridae",0,0.0170940170940171
"Odontoceridae",0,0.0525030525030525
"Pelecypoda",0.287878787878788,0.197802197802198
"Peltoperlidae",0,0.0341880341880342
"Perlidae",0.0378787878787879,0.52014652014652
"Perlodidae",0.00757575757575758,0.0317460317460317
"Philopotamidae",0.143939393939394,0.677655677655678
"Physidae",0.21969696969697,0.0476190476190476
"Polycentropodidae",0.00757575757575758,0.102564102564103
"Polymitarcyidae",0,0.0256410256410256
"Potamanthidae",0,0.0183150183150183
"Psephenidae",0.159090909090909,0.518925518925519
"Pteronarcidae",0,0.0463980463980464
"Rhyacophilidae",0.0378787878787879,0.228327228327228
"Sialidae",0.0454545454545455,0.0500610500610501
"Simuliidae",0.401515151515151,0.416361416361416
"Tabanidae",0.0833333333333333,0.0317460317460317
"Turbellaria",0.446969696969697,0.228327228327228
"Uenoidae",0.00757575757575758,0.0207570207570208
